id,package_wine_id,position,type,section_type,payload_json,created_at
d0ed742a-e017-4486-8bb2-ea720c25fdce,9006fecf-824c-477d-8130-107cabb354e8,6,question,ending,"{""title"": ""Body Assessment"", ""description"": """"}",2025-06-09 15:17:23.719155+00
e1c8fd80-bf80-4a69-99b6-8397a5334526,9006fecf-824c-477d-8130-107cabb354e8,5,question,ending,"{""title"": ""Overall Impression"", ""description"": """"}",2025-06-09 15:17:12.906057+00
13941982-764c-4da8-9aaf-c136a53ddaf0,9006fecf-824c-477d-8130-107cabb354e8,4,question,intro,"{""title"": ""Finish Length"", ""description"": """"}",2025-06-09 15:17:08.337432+00
defd944c-55ad-4246-8dca-a3747884b236,6e412a6a-8fbe-4a15-a76c-b9a5877a7d07,11,question,intro,"{""title"": ""Visual Assessment"", ""description"": """"}",2025-06-09 15:17:03.901326+00
c5afe8fc-0c1c-46ae-9684-14903d9c449b,6e412a6a-8fbe-4a15-a76c-b9a5877a7d07,10,question,intro,"{""title"": ""Finish Length"", ""description"": """"}",2025-06-09 15:17:02.154146+00
9c231f70-7080-45ea-8d26-879ab984aeb0,6e412a6a-8fbe-4a15-a76c-b9a5877a7d07,9,question,intro,"{""title"": ""Tannin Level"", ""description"": ""o""}",2025-06-09 15:16:59.876525+00
21c53463-0446-40f2-a27d-4d92f2a35aec,6e412a6a-8fbe-4a15-a76c-b9a5877a7d07,8,question,ending,"{""title"": ""Body Assessment"", ""description"": """"}",2025-06-09 15:16:58.414549+00
2742d748-15eb-4de1-a351-446f5d410e91,6e412a6a-8fbe-4a15-a76c-b9a5877a7d07,7,question,ending,"{""title"": ""Aroma Intensity"", ""description"": """"}",2025-06-09 15:16:56.059665+00
aa044ae9-b0e5-426d-87a8-06116344fcda,6e412a6a-8fbe-4a15-a76c-b9a5877a7d07,6,question,deep_dive,"{""title"": ""Overall Impression"", ""description"": """"}",2025-06-09 15:16:53.434701+00
041a684c-ccec-471a-ba93-e7fb3e16d98c,6e412a6a-8fbe-4a15-a76c-b9a5877a7d07,5,question,deep_dive,"{""title"": ""Acidity Level"", ""description"": """"}",2025-06-09 15:16:50.636126+00
